,fecha,hora_declarada,ruta,operador,tipo_aeronave,total_abordo,pasajeros_abordo,tripulacion_abordo,total_fatalidades,pasajeros_fatalidades,tripulacion_fatalidades,tierra_fatalidades
1249,1951-06-29,,"Near Rijeka, Yugoslavia",JAT Yugoslav Airlines,Junkers 52/3m,14,11,3,14,11,3,0
1250,1951-06-30,02:00:00,"Rocky Mountain Nat. Park, near Ft. Collins, Colorado",United Air Lines,Douglas DC-6B,50,45,5,50,45,5,0
1251,1951-07-12,22:45:00,"Lyneham AFB, England",Military - Royal Air Force,Vickers Valetta C-1,10,0,10,10,0,10,0
1252,1951-07-12,,"Near Tezpur, India",Indamer,Douglas C-47B,3,0,3,3,0,3,0
1253,1951-07-12,,"Aracaju, Brazil",Loide Aereo Nacional,Douglas DC-3,33,28,5,33,28,5,0
1254,1951-07-16,09:07:00,"Off Lae, New Guinea",Qantas,de Havilland DHA-3 Drover II,7,5,2,7,5,2,0
1255,1951-07-20,,"Thudamot, China",Air Outre-Mer,Douglas C-47A,3,0,3,3,0,3,0
1256,1951-07-21,22:55:00,"Near Sitka, Alaska",Canadian Pacific Air Lines,Douglas C-54A,37,31,6,37,31,6,0
1257,1951-07-24,05:45:00,"Gao, Mali",Sabena,Douglas DC-3,3,0,3,3,0,3,0
1258,1951-07-29,,"Cochabamba, Bolivia",Loide Aéreo Nacional,Curtiss C-46A,7,4,3,7,4,3,0
1259,1951-08-08,21:00:00,"Barilla Bay, Australia",Trans Australia Airlines,,2,0,2,2,0,2,0
1260,1951-08-11,09:25:00,"Moisville, France",Air France,Douglas DC-3D,5,0,5,5,0,5,0
1261,1951-08-17,,"Ubatuba, Brazil",REAL,Douglas DC-3,10,,,10,,,0
1262,1951-08-24,04:28:00,"Decoto, California",United Air Lines,Douglas DC-6B,50,44,6,50,44,6,0
1263,1951-09-08,19:00:00,"Sao Paulo, Brazil",VASP,Douglas DC-3,13,9,4,13,9,4,3
1264,1951-09-12,12:30:00,"Off Ialas Baeares, Spain",Societe Alpes Provence,Douglas DC-3,39,36,3,39,36,3,0
1265,1951-09-12,11:46:00,"Off Redwood City, California",United Air Lines,Boeing 377 Stratocruiser 10-34,3,0,3,3,0,3,0
1266,1951-09-15,,"Bangalore, India",Air India,Douglas C-47A-30-DK Dakota III,28,24,4,22,21,1,0
1267,1951-09-27,,Near Tachikawa Air Base,Military - US Air Force,Fairchild C-119C-15-FA Flying Boxcar,14,0,14,14,0,14,0
1268,1951-09-29,,"La Paz, Bolivia",Frigorifico Cooperativo Los Andes,Curtiss C-46D-15-CU,27,24,3,27,24,3,0
1269,1951-10-08,,"Cerro Blanco, Mexico",Aero Transportes,Douglas DC-3,8,5,3,8,5,3,0
1270,1951-10-15,,"East Griqualand, South Africa",South African Airways,Douglas DC-3,17,13,4,17,13,4,0
1271,1951-10-15,,North Atlantic,Military - U.S. Air Force,Boeing C-97A Stratofreighter,12,9,3,12,9,3,0
1272,1951-10-17,18:55:00,"Mt. Benson, BC, Canada",Queen Charlotte Airlines,Consolidated PBY-5A Catalina,23,20,3,23,20,3,0
1273,1951-10-22,,"Skopje, Yugoslavia",JAT Yugoslav Airlines,Douglas DC-3,12,9,3,12,9,3,0
1274,1951-10-27,19:00:00,"Near Flores, Guatemala",Military - Guatemalan Air Force,Douglas C-47,29,25,4,27,23,4,0
1275,1951-11-05,09:29:00,"Near Tucumcari, New Mexico",Transocean Air Lines,Martin 202,29,26,3,1,1,0,0
1276,1951-11-13,13:00:00,"Puy-de-Dôme, France",Military - U. S. Air Force,Fairchild C-82 Packet,36,32,4,36,32,4,0
1277,1951-11-15,09:00:00,"Near Lodz, Poland",LOT Polish Airlines,Lisunov Li-2P,18,14,4,18,14,4,0
1278,1951-11-17,16:23:00,"Near  Novosibirsk, Russia",Aeroflot,Ilyushin IL-12,23,19,4,23,19,4,0
1279,1951-11-19,,"Cairo, Egypt",Devlet Hava Yollari,Douglas DC-3,5,4,1,5,4,1,0
1280,1951-11-21,07:45:00,"Calcutta, India",Deccan Airways,Douglas DC-3,17,13,4,16,12,4,0
1281,1951-11-24,06:00:00,"Zurich, Switzerland",El Al,Douglas DC-4,7,0,7,6,0,6,0
1282,1951-11-27,,"San Luis Acatlan, Mexico",Lineas Aereas Unidas,DC-2-243,21,18,3,13,11,2,0
1283,1951-12-04,07:25:00,"Denver, Colorado",United Air Lines,Douglas DC-3A,3,0,3,3,0,3,0
1284,1951-12-13,,"Yaramunda, Papua, New Guinea",Qantas,de Havilland DH-84 Dragon,3,2,1,3,2,1,0
1285,1951-12-16,15:09:00,"Elizabeth, New Jersey",Miami Airlines,Curtiss Wright C-46F,56,52,4,56,52,4,1
1286,1951-12-23,,"Tehran, Iran",Misrair,SNCASE Languedoc,22,18,4,22,18,4,0
1287,1951-12-27,04:26:00,"Near Namtso, Russia",Aeroflot,Lisunov LI-2,20,14,6,20,14,6,0
1288,1951-12-29,22:25:00,"Near Little Valley, New York",Continental Charters,Curtiss C-46A-50-CU,40,36,4,26,23,3,0
1289,1951-12-30,22:07:00,"Near Fairbanks, Alaska",Transocean Air Lines,Curtiss C 46F-CU,4,2,2,4,2,2,0
